"","Cell_type...128","predicted_RF","predicted_KNN","predicted_XGB","predicted_NB","all_predictions_same"
"GSM5491781_16.144","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491782_16.152","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491783_16.155","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491784_16.158","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491785_16.161","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491786_16.162","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491787_16.164","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491788_16.167","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491789_16.170","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491790_16.171","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491791_16.174","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491792_16.176","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491793_16.177","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491794_16.179","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491795_16.182","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491796_16.186","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491797_16.189","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491798_16.191","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491799_16.192","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491800_16.194","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491801_16.196","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491802_16.199","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491803_16.200","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491804_16.201","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491805_16.202","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491806_16.204","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491807_16.205","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
