,0
1054,gigyf2
1055,gpr89b
1056,pms2
1057,iws1
1058,ninj1
1059,abhd14b
1060,cr2
1061,gpr17
1062,gramd4
1063,nlgn4x
1064,kctd1
1065,clip3
1066,gxylt2
1067,xg
1068,pde9a
1069,tspan7
1070,rapgef5
1071,nfatc2
1072,arl10
1073,grid2ip
1074,dlgap2
1075,brca2
1076,parpbp
1077,aspm
1078,ckap2
1079,cenpe
1080,smc4
1081,nuf2
1082,atad2
1083,ttk
1084,wee1
1085,prh1
1086,srgap2
1087,scarna17
1088,znf625-znf20
1089,slc5a3
1090,rbm8a
1091,rnf115
1092,nbpf14
1093,bahcc1
1094,taf15
1095,msh5-sapcd1
1096,nbpf9
1097,ppt2-egfl8
1098,nbpf14
1099,cd96
1100,nudt19
1101,smyd2
1102,schip1
1103,znf641
1104,spon2
1105,tnfrsf10d
1106,diras1
1107,caln1
1108,bcl6b
1109,linc00092
1110,sema3g
1111,prkch
1112,usp2
1113,artn
1114,c16orf74
1115,cacna2d4
1116,ccna1
1117,ston1
1118,nomo1
1119,pkd1p1
1120,nomo2
1121,fam174a
1122,tshz2
1123,ldlrap1
1124,clec2d
1125,galm
1126,ptprj
1127,tpd52
1128,sp140
1129,or4f17
1130,or6y1
1131,pcdha4
1132,or14j1
1133,gabrg2
1134,spdye6
1135,foxd4l5
1136,slc13a4
1137,cdc14c
1138,foxo3
1139,zbtb10
1140,btbd3
1141,socs2
1142,ankrd39
1143,dctn4
1144,chst2
1145,mboat2
1146,ccz1
1147,sdhap1
1148,spry2
1149,efhc1
1150,c4orf36
1151,pbld
1152,lysmd2
1153,fam131b
1154,aff1
1155,slco4c1
1156,itgad
1157,f2r
1158,uts2
1159,tbx21
1160,ctsw
1161,ddx11
1162,wdr62
1163,sugp2
1164,fanca
1165,stag3l1
1166,pcnt
1167,spag5
1168,ganc
1169,mef2a
1170,cnih4
1171,ormdl2
1172,prdm15
1173,dip2b
1174,zdhhc23
1175,znf492
1176,orc6
1177,prr11
1178,znf157
1179,ifi30
1180,tmbim1
1181,il2ra
1182,zbtb7b
1183,pik3r5
1184,mvp
1185,nkg7
1186,rassf3
1187,dlg1
1188,slc4a1
1189,linc00239
1190,lime1
1191,pdzd8
1192,cd27
1193,tsr1
1194,alkbh6
1195,cd300lf
1196,cd33
1197,mmrn1
1198,tfpi
1199,loxl3
1200,egf
1201,aldh2
1202,cd8b
1203,rab32
1204,smarca1
1205,wdr17
1206,dhcr24
1207,arhgef26
1208,tmtc2
1209,tex9
1210,scn9a
1211,ltbp1
1212,hoxb3
1213,cacnb2
1214,prcd
1215,pcbd1
1216,tg
1217,ints3
1218,terf2
1219,scn3b
1220,cdkl1
1221,padi2
1222,nav2
1223,arhgef11
1224,pfkfb4
1225,tmem63c
1226,myo7a
1227,dnajc18
1228,obscn
1229,hap1
1230,kif26b
1231,igsf10
1232,zfyve9
1233,tptep1
1234,fgd6
1235,ankrd24
1236,dgkg
1237,shank2
1238,chst10
1239,znf416
1240,il17d
1241,cldn12
1242,ccny
1243,fam174b
1244,trim24
1245,kbtbd4
1246,gtf2h2c
1247,kcnc3
1248,rhpn2
1249,tnxb
1250,col27a1
1251,thoc3
1252,crocc
1253,osbpl5
1254,ano8
1255,croccp3
1256,croccp2
1257,hook2
1258,lss
1259,znf850
1260,znf90
1261,znf829
1262,znf43
1263,znf695
1264,znf845
1265,fancb
1266,pigb
1267,znf726
1268,znf329
1269,ncf1c
1270,ncf1b
1271,hvcn1
1272,gsn
1273,spi1
1274,hmmr
1275,fam72d
1276,fam72a
1277,tubg1
1278,bub1
1279,dlgap5
1280,gype
1281,fech
1282,rhce
1283,tspo2
1284,hepacam2
1285,cr1l
1286,epb42
1287,gypa
1288,ahsp
1289,tmod1
1290,wash3p
1291,ino80b
1292,wash7p
1293,man1b1
1294,agap4
1295,clasrp
1296,bcrp3
1297,snrnp70
1298,fbrsl1
1299,tnk2
1300,idua
1301,anapc2
1302,fpgs
1303,lsm7
1304,brf1
1305,wdr90
1306,ints1
1307,tert
1308,acap3
1309,fkrp
1310,ercc5
1311,sema3g
1312,linc00092
1313,prkch
1314,usp2
1315,lilrb4
1316,artn
1317,c16orf74
1318,cacna2d4
1319,ccna1
1320,ston1
1321,gzma
1322,lct
1323,trim47
1324,smad6
1325,ptprd
1326,cps1
1327,mfap4
1328,ang
1329,tnfrsf8
1330,mecom
1331,zdhhc15
1332,cthrc1
1333,ccdc138
1334,slc6a20
1335,celsr2
1336,nt5dc2
1337,krba1
1338,gprin1
1339,irs1
1340,klhl25
1341,wasf1
1342,cdk18
1343,sema6c
1344,mgat5b
1345,fgfr1op2
1346,kif1c
1347,cdadc1
1348,echdc3
1349,trim47
1350,smad6
1351,ptprd
1352,cps1
1353,mfap4
1354,ang
1355,tnfrsf8
1356,mecom
1357,zdhhc15
1358,cthrc1
1359,ccdc138
1360,slc6a20
1361,tcf7l2
1362,apoe
1363,cd44
1364,commd10
1365,dzip3
1366,uchl3
1367,oxnad1
1368,e2f2
1369,kifap3
1370,tmbim4
1371,faah2
1372,cep170p1
1373,sdccag8
1374,znf625
1375,ppfibp1
1376,fkbp1b
1377,cep350
1378,tptep1
1379,igsf10
1380,hap1
1381,zfyve9
1382,wnk3
1383,fgd6
1384,dsc2
1385,abhd3
1386,ankrd24
1387,dgkg
1388,shank2
1389,ighmbp2
1390,dnm2
1391,csnk1d
1392,pomzp3
1393,fmnl1
1394,ncbp2
1395,arhgap15
1396,ophn1
1397,pdcd4
1398,nt5dc2
1399,krba1
1400,gprin1
1401,irs1
1402,klhl25
1403,wasf1
1404,cdk18
1405,sema6c
1406,mgat5b
1407,fgfr1op2
1408,kif1c
1409,cdadc1
1410,nudt19
1411,smyd2
1412,schip1
1413,znf641
1414,scn3b
1415,spon2
1416,tnfrsf10d
1417,diras1
1418,caln1
1419,bcl6b
1420,ncf1b
1421,ncf1
1422,lilrb4
1423,rgpd2
1424,or14j1
1425,or6y1
1426,pcdha4
1427,gabrg2
1428,spdye6
1429,foxd4l5
1430,slc13a4
1431,cdc14c
1432,ldlrad3
1433,satb2
1434,evc
1435,mbtps1
1436,rbfox2
1437,fjx1
1438,limch1
1439,kctd17
1440,ptprm
1441,gata6
1442,ror2
1443,adcy1
1444,b3gat1
1445,rgmb
1446,lnx1
1447,dennd1b
1448,nuak1
1449,bend7
1450,dock1
1451,cd300lf
1452,mmrn1
1453,tfpi
1454,loxl3
1455,egf
1456,aldh2
1457,fcgr2a
1458,csta
1459,ankrd22
1460,tyrobp
1461,pygl
1462,nlrc4
1463,stac3
1464,piwil4
1465,snora12
1466,acap3
1467,osbpl5
1468,ano8
1469,croccp3
1470,croccp2
1471,spon2
1472,hook2
1473,prss27
1474,lss
1475,znf492
1476,orc6
1477,prr11
1478,znf157
1479,ldlrad3
1480,satb2
1481,evc
1482,mbtps1
1483,rbfox2
1484,fjx1
1485,limch1
1486,kctd17
1487,ptprm
1488,gata6
1489,ror2
1490,adcy1
1491,b3gat1
1492,rgmb
1493,lnx1
1494,dennd1b
1495,nuak1
