"","Cell_type","predicted_RF","predicted_KNN","predicted_XGB","all_predictions_same"
"ALL_1154","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1162","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_1163","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1127","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_1128","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_1131","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_1135","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1139","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_1136","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1159","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1110","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_1097","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_878","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_784","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_808","Unkown","9836/3 - Pre-B ALL","T Cell","T Cell",FALSE
"ALL_829","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_S1","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"KSALL34","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"KSALL50","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_358_r","Unkown","T Cell","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",FALSE
"ALL_210_r","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_257_r","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_464_r","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_380_r","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_680_r","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_1026_r","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_368_r","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"SIHTALLS26","T Cell","T Cell","T Cell","T Cell",TRUE
"T78","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS3","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS12","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS12","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS14","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS10","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS28","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS10","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS6","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS19","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS5","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS24","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS9","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS16","T Cell","T Cell","T Cell","T Cell",TRUE
"T70","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS35","T Cell","T Cell","T Cell","T Cell",TRUE
"T92","T Cell","T Cell","T Cell","T Cell",TRUE
"T115","T Cell","T Cell","T Cell","T Cell",TRUE
"DMUTALLS1","T Cell","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"SIHTALLS1","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS14","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS36","T Cell","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"T84","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS6","T Cell","T Cell","T Cell","T Cell",TRUE
"T105","T Cell","T Cell","T Cell","T Cell",TRUE
"T103","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS3","T Cell","T Cell","T Cell","T Cell",TRUE
"T39","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS31","T Cell","T Cell","T Cell","T Cell",TRUE
